,Player,Pos,Age,Date,Lg,Tm,Unnamed: 7,Opp,Result,G#,Week,Day,Tgt,Rec,Rec Yds,Y/Rec,Rec TDs,Ctch%,Y/Tgt
112,Saquon Barkley,RB,21.212,9/9/2018,NFL,NYG,,JAX,L 15-20,1,1,Sun,6,2,22,11.0,0,33.3,3.67
113,James Develin,FB,30.048000000000002,9/9/2018,NFL,NWE,,HOU,W 27-20,1,1,Sun,4,4,22,5.5,0,100.0,5.5
114,Paul Richardson,WR,26.149,9/9/2018,NFL,WAS,@,ARI,W 24-6,1,1,Sun,6,4,22,5.5,0,66.7,3.67
115,Darren Sproles,RB,35.078,9/6/2018,NFL,PHI,,ATL,W 18-12,1,1,Thu,7,4,22,5.5,0,57.1,3.14
116,Pierre Garcon,WR,32.032,9/9/2018,NFL,SFO,@,MIN,L 16-24,1,1,Sun,6,2,21,10.5,0,33.3,3.5
117,Virgil Green,TE,30.037,9/9/2018,NFL,LAC,,KAN,L 28-38,1,1,Sun,2,2,21,10.5,0,100.0,10.5
118,Ty Montgomery,RB,25.23,9/9/2018,NFL,GNB,,CHI,W 24-23,1,1,Sun,3,2,21,10.5,0,66.7,7.0
119,Sammy Watkins,WR,25.087,9/9/2018,NFL,KAN,@,LAC,W 38-28,1,1,Sun,5,3,21,7.0,0,60.0,4.2
120,Jordan Wilkins,RB,24.053,9/9/2018,NFL,IND,,CIN,L 23-34,1,1,Sun,3,3,21,7.0,0,100.0,7.0
121,Austin Carr,WR,24.258000000000003,9/9/2018,NFL,NOR,,TAM,L 40-48,1,1,Sun,2,2,20,10.0,0,100.0,10.0
122,Derek Carrier,TE,28.046999999999997,9/10/2018,NFL,OAK,,LAR,L 13-33,1,1,Mon,3,2,20,10.0,0,66.7,6.67
123,Allen Hurns,WR,26.301,9/9/2018,NFL,DAL,@,CAR,L 8-16,1,1,Sun,3,1,20,20.0,0,33.3,6.67
124,Kerryon Johnson,RB,21.072,9/10/2018,NFL,DET,,NYJ,L 17-48,1,1,Mon,3,3,20,6.67,0,100.0,6.67
125,Ricky Seals-Jones,TE,23.178,9/9/2018,NFL,ARI,,WAS,L 6-24,1,1,Sun,6,3,19,6.33,0,50.0,3.17
126,Malcolm Brown,RB,25.118000000000002,9/10/2018,NFL,LAR,@,OAK,W 33-13,1,1,Mon,2,2,18,9.0,0,100.0,9.0
127,Jason Croom,TE,24.193,9/9/2018,NFL,BUF,@,BAL,L 3-47,1,1,Sun,3,2,18,9.0,0,66.7,6.0
128,Kenyan Drake,RB,24.226,9/9/2018,NFL,MIA,,TEN,W 27-20,1,1,Sun,4,3,18,6.0,0,75.0,4.5
129,Evan Engram,TE,24.006999999999998,9/9/2018,NFL,NYG,,JAX,L 15-20,1,1,Sun,5,2,18,9.0,0,40.0,3.6
130,Zach Pascal,WR,23.265,9/9/2018,NFL,IND,,CIN,L 23-34,1,1,Sun,1,1,18,18.0,0,100.0,18.0
