,Player,Pos,Age,Date,Lg,Tm,Unnamed: 7,Opp,Result,G#,Week,Day,Tgt,Rec,Rec Yds,Y/Rec,Rec TDs,Ctch%,Y/Tgt
1760,Cooper Kupp,WR,25.142,11/4/2018,NFL,LAR,@,NOR,L 35-45,9,9,Sun,6,5,89,17.8,1,83.3,14.83
1761,Jeff Heuerman,TE,25.345,11/4/2018,NFL,DEN,,HOU,L 17-19,9,9,Sun,11,10,83,8.3,1,90.9,7.55
1762,Adam Humphries,WR,25.133000000000003,11/4/2018,NFL,TAM,@,CAR,L 28-42,8,9,Sun,8,8,82,10.25,2,100.0,10.25
1763,Duke Johnson,RB,25.041999999999998,11/4/2018,NFL,CLE,,KAN,L 21-37,9,9,Sun,9,9,78,8.67,2,100.0,8.67
1764,Christian McCaffrey,RB,22.15,11/4/2018,NFL,CAR,,TAM,W 42-28,8,9,Sun,6,5,78,15.6,0,83.3,13.0
1765,JuJu Smith-Schuster,WR,21.346999999999998,11/4/2018,NFL,PIT,@,BAL,W 23-16,8,9,Sun,9,7,78,11.14,0,77.8,8.67
1766,Doug Baldwin,WR,30.044,11/4/2018,NFL,SEA,,LAC,L 17-25,8,9,Sun,4,4,77,19.25,0,100.0,19.25
1767,Greg Olsen,TE,33.238,11/4/2018,NFL,CAR,,TAM,W 42-28,8,9,Sun,6,6,76,12.67,1,100.0,12.67
1768,James White,RB,26.274,11/4/2018,NFL,NWE,,GNB,W 31-17,9,9,Sun,7,6,72,12.0,0,85.7,10.29
1769,Julian Edelman,WR,32.166,11/4/2018,NFL,NWE,,GNB,W 31-17,9,9,Sun,10,6,71,11.83,0,60.0,7.1
1770,Calvin Ridley,WR,23.319000000000003,11/4/2018,NFL,ATL,@,WAS,W 38-14,8,9,Sun,9,6,71,11.83,1,66.7,7.89
1771,Robert Woods,WR,26.208000000000002,11/4/2018,NFL,LAR,@,NOR,L 35-45,9,9,Sun,9,5,71,14.2,0,55.6,7.89
1772,Tyreek Hill,WR,24.248,11/4/2018,NFL,KAN,@,CLE,W 37-21,9,9,Sun,5,4,69,17.25,0,80.0,13.8
1773,Spencer Ware,RB,26.346,11/4/2018,NFL,KAN,@,CLE,W 37-21,9,9,Sun,5,4,69,17.25,0,80.0,13.8
1774,Tevin Coleman,RB,25.201999999999998,11/4/2018,NFL,ATL,@,WAS,W 38-14,8,9,Sun,7,5,68,13.6,2,71.4,9.71
1775,Marvin Jones,WR,28.237,11/4/2018,NFL,DET,@,MIN,L 9-24,8,9,Sun,8,6,66,11.0,0,75.0,8.25
1776,Vernon Davis,TE,34.277,11/4/2018,NFL,WAS,,ATL,L 14-38,8,9,Sun,7,5,62,12.4,0,71.4,8.86
1777,Chris Herndon,TE,22.254,11/4/2018,NFL,NYJ,@,MIA,L 6-13,9,9,Sun,4,4,62,15.5,0,100.0,15.5
1778,Sammy Watkins,WR,25.143,11/4/2018,NFL,KAN,@,CLE,W 37-21,9,9,Sun,5,5,62,12.4,0,100.0,12.4
1779,Ben Watson,TE,37.321,11/4/2018,NFL,NOR,,LAR,W 45-35,8,9,Sun,4,3,62,20.67,1,75.0,15.5
1780,Demaryius Thomas,WR,30.314,11/4/2018,NFL,HOU,@,DEN,W 19-17,9,9,Sun,3,3,61,20.33,0,100.0,20.33
1781,Richie James,WR,23.057,11/1/2018,NFL,SFO,,OAK,W 34-3,9,9,Thu,3,2,60,30.0,0,66.7,20.0
1782,Dion Lewis,RB,28.039,11/5/2018,NFL,TEN,@,DAL,W 28-14,8,9,Mon,4,4,60,15.0,1,100.0,15.0
1783,Amari Cooper,WR,24.14,11/5/2018,NFL,DAL,,TEN,L 14-28,8,9,Mon,8,5,58,11.6,1,62.5,7.25
1784,Willie Snead,WR,26.018,11/4/2018,NFL,BAL,,PIT,L 16-23,9,9,Sun,8,7,58,8.29,0,87.5,7.25
1785,Courtland Sutton,WR,23.025,11/4/2018,NFL,DEN,,HOU,L 17-19,9,9,Sun,5,3,57,19.0,0,60.0,11.4
1786,James Conner,RB,23.183000000000003,11/4/2018,NFL,PIT,@,BAL,W 23-16,8,9,Sun,9,7,56,8.0,1,77.8,6.22
1787,Corey Davis,WR,23.298000000000002,11/5/2018,NFL,TEN,@,DAL,W 28-14,8,9,Mon,10,6,56,9.33,0,60.0,5.6
1788,Pierre Garcon,WR,32.085,11/1/2018,NFL,SFO,,OAK,W 34-3,9,9,Thu,5,3,56,18.67,1,60.0,11.2
1789,Jimmy Graham,TE,31.345,11/4/2018,NFL,GNB,@,NWE,L 17-31,8,9,Sun,6,4,55,13.75,1,66.7,9.17
1790,O.J. Howard,TE,23.35,11/4/2018,NFL,TAM,@,CAR,L 28-42,8,9,Sun,6,4,53,13.25,2,66.7,8.83
1791,Jesse James,TE,24.153000000000002,11/4/2018,NFL,PIT,@,BAL,W 23-16,8,9,Sun,3,2,53,26.5,0,66.7,17.67
1792,David Njoku,TE,22.116999999999997,11/4/2018,NFL,CLE,,KAN,L 21-37,9,9,Sun,5,4,53,13.25,0,80.0,10.6
1793,Nick Vannett,TE,25.243000000000002,11/4/2018,NFL,SEA,,LAC,L 17-25,8,9,Sun,8,6,52,8.67,1,75.0,6.5
1794,Antonio Callaway,WR,21.299,11/4/2018,NFL,CLE,,KAN,L 21-37,9,9,Sun,5,3,51,17.0,0,60.0,10.2
1795,Ezekiel Elliott,RB,23.105999999999998,11/5/2018,NFL,DAL,,TEN,L 14-28,8,9,Mon,5,4,51,12.75,0,80.0,10.2
1796,Michael Gallup,WR,22.215,11/5/2018,NFL,DAL,,TEN,L 14-28,8,9,Mon,6,3,51,17.0,0,50.0,8.5
1797,Mark Andrews,TE,22.059,11/4/2018,NFL,BAL,,PIT,L 16-23,9,9,Sun,6,3,50,16.67,0,50.0,8.33
1798,Kareem Hunt,RB,23.09,11/4/2018,NFL,KAN,@,CLE,W 37-21,9,9,Sun,2,1,50,50.0,1,50.0,25.0
1799,Jarvis Landry,WR,25.340999999999998,11/4/2018,NFL,CLE,,KAN,L 21-37,9,9,Sun,7,6,50,8.33,0,85.7,7.14
1800,Anthony Miller,WR,24.026,11/4/2018,NFL,CHI,@,BUF,W 41-9,8,9,Sun,6,5,49,9.8,0,83.3,8.17
1801,Gerald Everett,TE,24.131999999999998,11/4/2018,NFL,LAR,@,NOR,L 35-45,9,9,Sun,5,3,48,16.0,0,60.0,9.6
1802,Danny Amendola,WR,33.001999999999995,11/4/2018,NFL,MIA,,NYJ,W 13-6,9,9,Sun,7,5,47,9.4,0,71.4,6.71
1803,Emmanuel Sanders,WR,31.232,11/4/2018,NFL,DEN,,HOU,L 17-19,9,9,Sun,9,6,47,7.83,0,66.7,5.22
1804,Kenny Golladay,WR,25.000999999999998,11/4/2018,NFL,DET,@,MIN,L 9-24,8,9,Sun,4,3,46,15.33,0,75.0,11.5
1805,Mike Davis,RB,25.258000000000003,11/4/2018,NFL,SEA,,LAC,L 17-25,8,9,Sun,8,7,45,6.43,0,87.5,5.63
1806,Taylor Gabriel,WR,27.26,11/4/2018,NFL,CHI,@,BUF,W 41-9,8,9,Sun,5,3,45,15.0,0,60.0,9.0
1807,Jalen Richard,RB,25.017,11/1/2018,NFL,OAK,@,SFO,L 3-34,8,9,Thu,4,4,45,11.25,0,100.0,11.25
1808,Mohamed Sanu,WR,29.074,11/4/2018,NFL,ATL,@,WAS,W 38-14,8,9,Sun,5,4,45,11.25,0,80.0,9.0
1809,Devin Funchess,WR,24.166999999999998,11/4/2018,NFL,CAR,,TAM,W 42-28,8,9,Sun,5,4,44,11.0,0,80.0,8.8
1810,Matt LaCosse,TE,26.044,11/4/2018,NFL,DEN,,HOU,L 17-19,9,9,Sun,1,1,44,44.0,0,100.0,44.0
1811,Antonio Brown,WR,30.116999999999997,11/4/2018,NFL,PIT,@,BAL,W 23-16,8,9,Sun,10,5,42,8.4,1,50.0,4.2
1812,Austin Hooper,TE,24.0,11/4/2018,NFL,ATL,@,WAS,W 38-14,8,9,Sun,3,3,41,13.67,0,100.0,13.67
1813,Davante Adams,WR,25.315,11/4/2018,NFL,GNB,@,NWE,L 17-31,8,9,Sun,9,6,40,6.67,1,66.7,4.44
1814,Kelvin Benjamin,WR,27.272,11/4/2018,NFL,BUF,,CHI,L 9-41,9,9,Sun,9,4,40,10.0,0,44.4,4.44
1815,Quincy Enunwa,WR,26.156999999999996,11/4/2018,NFL,NYJ,@,MIA,L 6-13,9,9,Sun,4,3,40,13.33,0,75.0,10.0
1816,Chris Godwin,WR,22.25,11/4/2018,NFL,TAM,@,CAR,L 28-42,8,9,Sun,3,2,40,20.0,0,66.7,13.33
1817,Tyler Higbee,TE,25.307,11/4/2018,NFL,LAR,@,NOR,L 35-45,9,9,Sun,4,2,40,20.0,0,50.0,10.0
1818,Logan Thomas,TE,27.125999999999998,11/4/2018,NFL,BUF,,CHI,L 9-41,9,9,Sun,8,7,40,5.71,0,87.5,5.0
1819,Elijah McGuire,RB,24.156,11/4/2018,NFL,NYJ,@,MIA,L 6-13,9,9,Sun,5,3,37,12.33,0,60.0,7.4
1820,Laquon Treadwell,WR,23.143,11/4/2018,NFL,MIN,,DET,W 24-9,9,9,Sun,2,2,37,18.5,0,100.0,18.5
1821,Jason Croom,TE,24.249000000000002,11/4/2018,NFL,BUF,,CHI,L 9-41,9,9,Sun,5,3,36,12.0,0,60.0,7.2
1822,Darius Jennings,WR,26.13,11/5/2018,NFL,TEN,@,DAL,W 28-14,8,9,Mon,1,1,36,36.0,0,100.0,36.0
1823,Breshad Perriman,WR,25.055,11/4/2018,NFL,CLE,,KAN,L 21-37,9,9,Sun,6,2,36,18.0,0,33.3,6.0
1824,Theo Riddick,WR,27.184,11/4/2018,NFL,DET,@,MIN,L 9-24,8,9,Sun,8,7,36,5.14,0,87.5,4.5
1825,Alvin Kamara,RB,23.101999999999997,11/4/2018,NFL,NOR,,LAR,W 45-35,8,9,Sun,5,4,34,8.5,1,80.0,6.8
1826,Jordan Reed,TE,28.124000000000002,11/4/2018,NFL,WAS,,ATL,L 14-38,8,9,Sun,6,4,34,8.5,0,66.7,5.67
1827,Jonnu Smith,TE,23.075,11/5/2018,NFL,TEN,@,DAL,W 28-14,8,9,Mon,2,2,33,16.5,1,100.0,16.5
1828,Robby Anderson,WR,25.179000000000002,11/4/2018,NFL,NYJ,@,MIA,L 6-13,9,9,Sun,7,4,32,8.0,0,57.1,4.57
1829,Michael Crabtree,WR,31.051,11/4/2018,NFL,BAL,,PIT,L 16-23,9,9,Sun,7,3,32,10.67,0,42.9,4.57
1830,DeSean Jackson,WR,31.338,11/4/2018,NFL,TAM,@,CAR,L 28-42,8,9,Sun,4,2,32,16.0,0,50.0,8.0
1831,Josh Doctson,WR,25.336,11/4/2018,NFL,WAS,,ATL,L 14-38,8,9,Sun,6,3,31,10.33,1,50.0,5.17
1832,Phillip Dorsett,WR,25.303,11/4/2018,NFL,NWE,,GNB,W 31-17,9,9,Sun,3,3,30,10.0,0,100.0,10.0
1833,Chris Moore,WR,25.141,11/4/2018,NFL,BAL,,PIT,L 16-23,9,9,Sun,1,1,30,30.0,0,100.0,30.0
1834,Mike Williams,WR,24.031,11/4/2018,NFL,LAC,@,SEA,W 25-17,8,9,Sun,3,1,30,30.0,1,33.3,10.0
1835,Martavis Bryant,WR,26.316,11/1/2018,NFL,OAK,@,SFO,L 3-34,8,9,Thu,2,2,29,14.5,0,100.0,14.5
1836,Trey Burton,TE,27.006,11/4/2018,NFL,CHI,@,BUF,W 41-9,8,9,Sun,3,2,28,14.0,1,66.7,9.33
1837,Virgil Green,TE,30.093000000000004,11/4/2018,NFL,LAC,@,SEA,W 25-17,8,9,Sun,3,2,28,14.0,0,66.7,9.33
1838,Kyle Rudolph,TE,28.36,11/4/2018,NFL,MIN,,DET,W 24-9,9,9,Sun,2,2,28,14.0,0,100.0,14.0
1839,Lamar Miller,RB,27.193,11/4/2018,NFL,HOU,@,DEN,W 19-17,9,9,Sun,2,2,27,13.5,0,100.0,13.5
1840,Kenyan Drake,RB,24.281999999999996,11/4/2018,NFL,MIA,,NYJ,W 13-6,9,9,Sun,6,4,26,6.5,0,66.7,4.33
1841,Vance McDonald,TE,28.144000000000002,11/4/2018,NFL,PIT,@,BAL,W 23-16,8,9,Sun,6,3,25,8.33,0,50.0,4.17
1842,Curtis Samuel,WR,22.085,11/4/2018,NFL,CAR,,TAM,W 42-28,8,9,Sun,4,2,25,12.5,1,50.0,6.25
1843,Randall Cobb,WR,28.074,11/4/2018,NFL,GNB,@,NWE,L 17-31,8,9,Sun,6,5,24,4.8,0,83.3,4.0
1844,Phillip Lindsay,RB,24.103,11/4/2018,NFL,DEN,,HOU,L 17-19,9,9,Sun,3,2,24,12.0,0,66.7,8.0
1845,Taywan Taylor,WR,23.248,11/5/2018,NFL,TEN,@,DAL,W 28-14,8,9,Mon,2,2,24,12.0,0,100.0,12.0
1846,Chris Conley,WR,26.01,11/4/2018,NFL,KAN,@,CLE,W 37-21,9,9,Sun,2,1,23,23.0,0,50.0,11.5
1847,Allen Hurns,WR,26.358,11/5/2018,NFL,DAL,,TEN,L 14-28,8,9,Mon,1,1,23,23.0,1,100.0,23.0
1848,Tre'Quan Smith,WR,22.301,11/4/2018,NFL,NOR,,LAR,W 45-35,8,9,Sun,3,2,23,11.5,1,66.7,7.67
1849,Tyrell Williams,WR,26.265,11/4/2018,NFL,LAC,@,SEA,W 25-17,8,9,Sun,3,2,23,11.5,1,66.7,7.67
1850,Tyler Lockett,WR,26.037,11/4/2018,NFL,SEA,,LAC,L 17-25,8,9,Sun,4,3,22,7.33,0,75.0,5.5
1851,Adam Thielen,WR,28.074,11/4/2018,NFL,MIN,,DET,W 24-9,9,9,Sun,7,4,22,5.5,1,57.1,3.14
1852,Dwayne Allen,TE,28.253,11/4/2018,NFL,NWE,,GNB,W 31-17,9,9,Sun,1,1,21,21.0,0,100.0,21.0
1853,Cameron Batson,WR,22.32,11/5/2018,NFL,TEN,@,DAL,W 28-14,8,9,Mon,3,2,21,10.5,0,66.7,7.0
1854,Chad Beebe,WR,24.156,11/4/2018,NFL,MIN,,DET,W 24-9,9,9,Sun,3,3,21,7.0,0,100.0,7.0
1855,Hayden Hurst,TE,25.072,11/4/2018,NFL,BAL,,PIT,L 16-23,9,9,Sun,2,1,21,21.0,0,50.0,10.5
1856,Ryan Switzer,WR,24.0,11/4/2018,NFL,PIT,@,BAL,W 23-16,8,9,Sun,4,3,21,7.0,0,75.0,5.25
1857,Deonte Thompson,WR,29.264,11/5/2018,NFL,DAL,,TEN,L 14-28,8,9,Mon,2,2,21,10.5,0,100.0,10.5
1858,Dalvin Cook,RB,23.086,11/4/2018,NFL,MIN,,DET,W 24-9,9,9,Sun,4,4,20,5.0,0,100.0,5.0
1859,Jared Cook,TE,31.208000000000002,11/1/2018,NFL,OAK,@,SFO,L 3-34,8,9,Thu,2,2,20,10.0,0,100.0,10.0
1860,Jermaine Kearse,WR,28.271,11/4/2018,NFL,NYJ,@,MIA,L 6-13,9,9,Sun,9,3,20,6.67,0,33.3,2.22
1861,Brandon LaFell,WR,31.362,11/1/2018,NFL,OAK,@,SFO,L 3-34,8,9,Thu,3,3,20,6.67,0,100.0,6.67
1862,Doug Martin,RB,29.291999999999998,11/1/2018,NFL,OAK,@,SFO,L 3-34,8,9,Thu,2,1,20,20.0,0,50.0,10.0
1863,Aldrick Robinson,WR,30.041,11/4/2018,NFL,MIN,,DET,W 24-9,9,9,Sun,3,2,20,10.0,0,66.7,6.67
1864,Jamaal Williams,RB,23.215,11/4/2018,NFL,GNB,@,NWE,L 17-31,8,9,Sun,2,2,20,10.0,0,100.0,10.0
1865,Rashard Higgins,WR,24.028000000000002,11/4/2018,NFL,CLE,,KAN,L 21-37,9,9,Sun,4,3,19,6.33,0,75.0,4.75
1866,Chris Ivory,RB,30.226999999999997,11/4/2018,NFL,BUF,,CHI,L 9-41,9,9,Sun,4,3,19,6.33,0,75.0,4.75
1867,LeSean McCoy,RB,30.115,11/4/2018,NFL,BUF,,CHI,L 9-41,9,9,Sun,4,4,19,4.75,0,100.0,4.75
1868,Kenny Stills,WR,26.195999999999998,11/4/2018,NFL,MIA,,NYJ,W 13-6,9,9,Sun,1,1,19,19.0,0,100.0,19.0
1869,Malcolm Brown,RB,25.173000000000002,11/4/2018,NFL,LAR,@,NOR,L 35-45,9,9,Sun,1,1,18,18.0,1,100.0,18.0
1870,Zay Jones,WR,23.219,11/4/2018,NFL,BUF,,CHI,L 9-41,9,9,Sun,6,4,18,4.5,0,66.7,3.0
1871,Kalen Ballage,RB,22.316999999999997,11/4/2018,NFL,MIA,,NYJ,W 13-6,9,9,Sun,2,2,17,8.5,0,100.0,8.5
1872,Tim Patrick,WR,24.346,11/4/2018,NFL,DEN,,HOU,L 17-19,9,9,Sun,4,1,17,17.0,0,25.0,4.25
1873,Terrelle Pryor,WR,29.136999999999997,11/4/2018,NFL,BUF,,CHI,L 9-41,9,9,Sun,5,2,17,8.5,0,40.0,3.4
1874,James Washington,WR,22.215999999999998,11/4/2018,NFL,PIT,@,BAL,W 23-16,8,9,Sun,5,2,17,8.5,0,40.0,3.4
1875,Luke Willson,TE,28.293000000000003,11/4/2018,NFL,DET,@,MIN,L 9-24,8,9,Sun,2,2,17,8.5,0,100.0,8.5
1876,Cole Beasley,WR,29.193,11/5/2018,NFL,DAL,,TEN,L 14-28,8,9,Mon,4,3,16,5.33,0,75.0,4.0
1877,Mike Evans,WR,25.075,11/4/2018,NFL,TAM,@,CAR,L 28-42,8,9,Sun,10,1,16,16.0,0,10.0,1.6
1878,Jakeem Grant,WR,26.035,11/4/2018,NFL,MIA,,NYJ,W 13-6,9,9,Sun,2,1,16,16.0,0,50.0,8.0
1879,D.J. Moore,WR,21.204,11/4/2018,NFL,CAR,,TAM,W 42-28,8,9,Sun,2,1,16,16.0,0,50.0,8.0
1880,David Moore,WR,23.293000000000003,11/4/2018,NFL,SEA,,LAC,L 17-25,8,9,Sun,7,2,16,8.0,0,28.6,2.29
1881,Latavius Murray,RB,28.29,11/4/2018,NFL,MIN,,DET,W 24-9,9,9,Sun,1,1,16,16.0,0,100.0,16.0
1882,Jordy Nelson,WR,33.154,11/1/2018,NFL,OAK,@,SFO,L 3-34,8,9,Thu,3,2,16,8.0,0,66.7,5.33
1883,Adrian Peterson,RB,33.228,11/4/2018,NFL,WAS,,ATL,L 14-38,8,9,Sun,3,3,16,5.33,0,100.0,5.33
1884,Damion Ratley,WR,23.201999999999998,11/4/2018,NFL,CLE,,KAN,L 21-37,9,9,Sun,4,2,16,8.0,0,50.0,4.0
1885,Paul Richardson,WR,26.205,11/4/2018,NFL,WAS,,ATL,L 14-38,8,9,Sun,6,2,16,8.0,0,33.3,2.67
1886,Kapri Bibbs,RB,25.298000000000002,11/4/2018,NFL,WAS,,ATL,L 14-38,8,9,Sun,1,1,15,15.0,0,100.0,15.0
1887,Cameron Brate,TE,27.124000000000002,11/4/2018,NFL,TAM,@,CAR,L 28-42,8,9,Sun,3,3,15,5.0,0,100.0,5.0
1888,John Brown,WR,28.215,11/4/2018,NFL,BAL,,PIT,L 16-23,9,9,Sun,6,3,15,5.0,0,50.0,2.5
1889,Trenton Cannon,RB,24.104,11/4/2018,NFL,NYJ,@,MIA,L 6-13,9,9,Sun,1,1,15,15.0,0,100.0,15.0
1890,Blake Jarwin,TE,24.112,11/5/2018,NFL,DAL,,TEN,L 14-28,8,9,Mon,2,2,15,7.5,0,100.0,7.5
1891,Austin Ekeler,RB,23.171,11/4/2018,NFL,LAC,@,SEA,W 25-17,8,9,Sun,2,1,13,13.0,0,50.0,6.5
1892,Ryan Griffin,TE,28.296999999999997,11/4/2018,NFL,HOU,@,DEN,W 19-17,9,9,Sun,2,1,13,13.0,0,50.0,6.5
1893,Dwayne Harris,WR,31.046,11/1/2018,NFL,OAK,@,SFO,L 3-34,8,9,Thu,1,1,13,13.0,0,100.0,13.0
1894,T.J. Jones,WR,26.108,11/4/2018,NFL,DET,@,MIN,L 9-24,8,9,Sun,2,2,13,6.5,0,100.0,6.5
1895,Rashaad Penny,RB,22.275,11/4/2018,NFL,SEA,,LAC,L 17-25,8,9,Sun,3,3,13,4.33,0,100.0,4.33
1896,Michael Roberts,TE,24.180999999999997,11/4/2018,NFL,DET,@,MIN,L 9-24,8,9,Sun,4,1,12,12.0,0,25.0,3.0
1897,Isaiah Crowell,RB,25.3,11/4/2018,NFL,NYJ,@,MIA,L 6-13,9,9,Sun,2,1,11,11.0,0,50.0,5.5
1898,Marquise Goodwin,WR,27.346999999999998,11/1/2018,NFL,SFO,,OAK,W 34-3,9,9,Thu,4,1,11,11.0,0,25.0,2.75
1899,Todd Gurley,HB,24.093000000000004,11/4/2018,NFL,LAR,@,NOR,L 35-45,9,9,Sun,7,6,11,1.83,0,85.7,1.57
1900,Jaron Brown,WR,28.3,11/4/2018,NFL,SEA,,LAC,L 17-25,8,9,Sun,2,1,10,10.0,1,50.0,5.0
1901,Melvin Gordon,RB,25.205,11/4/2018,NFL,LAC,@,SEA,W 25-17,8,9,Sun,4,1,10,10.0,0,25.0,2.5
1902,Josh Hill,TE,28.166999999999998,11/4/2018,NFL,NOR,,LAR,W 45-35,8,9,Sun,4,2,10,5.0,0,50.0,2.5
1903,Aaron Jones,RB,23.337,11/4/2018,NFL,GNB,@,NWE,L 17-31,8,9,Sun,4,2,10,5.0,0,50.0,2.5
1904,Kyle Juszczyk,FB,27.191999999999997,11/1/2018,NFL,SFO,,OAK,W 34-3,9,9,Thu,2,2,10,5.0,0,100.0,5.0
1905,Peyton Barber,RB,24.25,11/4/2018,NFL,TAM,@,CAR,L 28-42,8,9,Sun,3,2,9,4.5,0,66.7,3.0
1906,Devontae Booker,RB,26.160999999999998,11/4/2018,NFL,DEN,,HOU,L 17-19,9,9,Sun,4,2,9,4.5,0,50.0,2.25
1907,Andy Janovich,FB,25.165,11/4/2018,NFL,DEN,,HOU,L 17-19,9,9,Sun,1,1,9,9.0,0,100.0,9.0
1908,Javorius Allen,RB,27.069000000000003,11/4/2018,NFL,BAL,,PIT,L 16-23,9,9,Sun,5,5,8,1.6,0,100.0,1.6
1909,Derek Carrier,TE,28.099,11/1/2018,NFL,OAK,@,SFO,L 3-34,8,9,Thu,2,1,8,8.0,0,50.0,4.0
1910,Tarik Cohen,RB,23.101,11/4/2018,NFL,CHI,@,BUF,W 41-9,8,9,Sun,2,1,8,8.0,0,50.0,4.0
1911,Ross Dwelley,TE,23.279,11/1/2018,NFL,SFO,,OAK,W 34-3,9,9,Thu,1,1,8,8.0,0,100.0,8.0
1912,DeVante Parker,WR,25.288,11/4/2018,NFL,MIA,,NYJ,W 13-6,9,9,Sun,2,1,8,8.0,0,50.0,4.0
1913,Samaje Perine,RB,23.049,11/4/2018,NFL,WAS,,ATL,L 14-38,8,9,Sun,3,2,8,4.0,0,66.7,2.67
1914,Seth Roberts,WR,27.252,11/1/2018,NFL,OAK,@,SFO,L 3-34,8,9,Thu,2,1,8,8.0,0,50.0,4.0
1915,Rod Smith,RB,26.299,11/5/2018,NFL,DAL,,TEN,L 14-28,8,9,Mon,2,1,8,8.0,0,50.0,4.0
1916,Jarius Wright,WR,28.344,11/4/2018,NFL,CAR,,TAM,W 42-28,8,9,Sun,1,1,8,8.0,0,100.0,8.0
1917,Kerryon Johnson,RB,21.127,11/4/2018,NFL,DET,@,MIN,L 9-24,8,9,Sun,5,3,7,2.33,0,60.0,1.4
1918,Cordarrelle Patterson,WR,27.232,11/4/2018,NFL,NWE,,GNB,W 31-17,9,9,Sun,1,1,7,7.0,0,100.0,7.0
1919,Jordan Thomas,TE,22.094,11/4/2018,NFL,HOU,@,DEN,W 19-17,9,9,Sun,1,1,7,7.0,1,100.0,7.0
1920,Kendrick Bourne,WR,23.089000000000002,11/1/2018,NFL,SFO,,OAK,W 34-3,9,9,Thu,2,2,6,3.0,1,100.0,3.0
1921,Frank Gore,RB,35.174,11/4/2018,NFL,MIA,,NYJ,W 13-6,9,9,Sun,1,1,6,6.0,0,100.0,6.0
1922,Andre Holmes,WR,30.141,11/4/2018,NFL,BUF,,CHI,L 9-41,9,9,Sun,1,1,6,6.0,0,100.0,6.0
1923,Jordan Leggett,TE,23.276999999999997,11/4/2018,NFL,NYJ,@,MIA,L 6-13,9,9,Sun,2,1,6,6.0,0,50.0,3.0
1924,Eric Tomlinson,TE,26.195999999999998,11/4/2018,NFL,NYJ,@,MIA,L 6-13,9,9,Sun,2,1,6,6.0,0,50.0,3.0
1925,Nick Chubb,RB,22.311999999999998,11/4/2018,NFL,CLE,,KAN,L 21-37,9,9,Sun,1,1,5,5.0,0,100.0,5.0
1926,Derrick Henry,RB,24.305,11/5/2018,NFL,TEN,@,DAL,W 28-14,8,9,Mon,2,2,5,2.5,0,100.0,2.5
1927,Marcedes Lewis,TE,34.169000000000004,11/4/2018,NFL,GNB,@,NWE,L 17-31,8,9,Sun,1,1,5,5.0,0,100.0,5.0
1928,Taquan Mizzell,RB,25.014,11/4/2018,NFL,CHI,@,BUF,W 41-9,8,9,Sun,2,1,5,5.0,0,50.0,2.5
1929,Luke Stocker,TE,30.111,11/5/2018,NFL,TEN,@,DAL,W 28-14,8,9,Mon,2,1,5,5.0,0,50.0,2.5
1930,Alex Collins,RB,24.07,11/4/2018,NFL,BAL,,PIT,L 16-23,9,9,Sun,1,1,4,4.0,0,100.0,4.0
1931,Ito Smith,RB,23.054000000000002,11/4/2018,NFL,ATL,@,WAS,W 38-14,8,9,Sun,2,1,4,4.0,0,50.0,2.0
1932,Equanimeous St. Brown,WR,22.035,11/4/2018,NFL,GNB,@,NWE,L 17-31,8,9,Sun,4,1,4,4.0,0,25.0,1.0
1933,Matt Breida,RB,23.246,11/1/2018,NFL,SFO,,OAK,W 34-3,9,9,Thu,1,1,3,3.0,0,100.0,3.0
1934,Mark Ingram,RB,28.318,11/4/2018,NFL,NOR,,LAR,W 45-35,8,9,Sun,2,1,3,3.0,0,50.0,1.5
1935,Zach Line,FB,28.162,11/4/2018,NFL,NOR,,LAR,W 45-35,8,9,Sun,1,1,3,3.0,0,100.0,3.0
1936,Demarcus Robinson,WR,24.044,11/4/2018,NFL,KAN,@,CLE,W 37-21,9,9,Sun,2,1,3,3.0,0,50.0,1.5
1937,LeGarrette Blount,RB,31.334,11/4/2018,NFL,DET,@,MIN,L 9-24,8,9,Sun,1,1,2,2.0,0,100.0,2.0
1938,James Develin,FB,30.104,11/4/2018,NFL,NWE,,GNB,W 31-17,9,9,Sun,2,1,0,0.0,0,50.0,0.0
1939,Tajae Sharpe,WR,23.316999999999997,11/5/2018,NFL,TEN,@,DAL,W 28-14,8,9,Mon,1,1,0,0.0,0,100.0,0.0
1940,Jacquizz Rodgers,RB,28.271,11/4/2018,NFL,TAM,@,CAR,L 28-42,8,9,Sun,3,2,-4,-2.0,0,66.7,-1.33
1941,Marcus Murphy,RB,27.239,11/4/2018,NFL,BUF,,CHI,L 9-41,9,9,Sun,4,3,-7,-2.33,0,75.0,-1.75
1942,Zach Ertz,TE,28.000999999999998,11/11/2018,NFL,PHI,,DAL,L 20-27,9,10,Sun,16,14,145,10.36,2,87.5,9.06
1943,Allen Robinson,WR,25.079,11/11/2018,NFL,CHI,,DET,W 34-22,9,10,Sun,8,6,133,22.17,2,75.0,16.63
1944,Corey Davis,WR,23.304000000000002,11/11/2018,NFL,TEN,,NWE,W 34-10,9,10,Sun,10,7,125,17.86,1,70.0,12.5
1945,Anthony Miller,WR,24.033,11/11/2018,NFL,CHI,,DET,W 34-22,9,10,Sun,6,5,122,24.4,1,83.3,20.33
1946,Tyreek Hill,WR,24.255,11/11/2018,NFL,KAN,,ARI,W 26-14,10,10,Sun,10,7,117,16.71,2,70.0,11.7
