,Age,Fantasy Points,Opp RYPG,Opp PYPG,Rush Att/G,Rush Yds/G,Rush TDs/G,Tgt/G,Rec/G,Rec Yds/G,Rec TDs/G
780,23.016,17.4,108.125,235.6875,0.6363636363636364,3.0,0.0,0.09090909090909091,0.09090909090909091,0.7272727272727273,0.0
781,23.211,20.9,98.1875,210.0625,16.90909090909091,77.18181818181819,0.9090909090909091,5.818181818181818,4.454545454545454,41.18181818181818,0.09090909090909091
782,27.219,5.4,115.375,260.25,10.454545454545455,35.63636363636363,0.09090909090909091,1.1818181818181819,1.0909090909090908,9.727272727272727,0.0
783,22.233,19.6,117.875,207.75,2.272727272727273,7.7272727272727275,0.0,1.2727272727272727,1.1818181818181819,5.7272727272727275,0.0
784,30.143,8.4,140.375,236.4375,11.454545454545455,38.63636363636363,0.18181818181818182,3.1818181818181817,2.272727272727273,18.0,0.0
785,22.281,4.800000000000002,140.3125,253.75,7.636363636363637,31.727272727272727,0.45454545454545453,0.5454545454545454,0.45454545454545453,2.5454545454545454,0.0
786,27.009,11.7,136.6875,222.9375,1.7272727272727273,10.909090909090908,0.09090909090909091,1.1818181818181819,1.0,11.181818181818182,0.0
787,24.278000000000002,10.5,98.75,239.0625,13.909090909090908,53.63636363636363,0.2727272727272727,1.4545454545454546,1.1818181818181819,6.454545454545454,0.09090909090909091
788,24.331999999999997,11.5,124.4375,228.0625,10.727272727272727,39.45454545454545,0.36363636363636365,1.0,0.9090909090909091,6.636363636363637,0.0
789,26.243000000000002,5.5,136.6875,222.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
790,24.315,4.8,125.0625,233.3125,1.1818181818181819,4.0,0.09090909090909091,0.0,0.0,0.0,0.0
791,28.073,4.2,96.75,228.4375,12.818181818181818,43.18181818181818,0.45454545454545453,0.7272727272727273,0.5454545454545454,2.6363636363636362,0.0
792,24.0,13.2,134.9375,198.4375,9.181818181818182,55.09090909090909,0.5454545454545454,2.4545454545454546,1.7272727272727273,14.727272727272727,0.09090909090909091
793,23.127,11.2,87.0625,217.9375,13.636363636363637,64.18181818181819,1.0,6.636363636363637,5.181818181818182,47.18181818181818,0.36363636363636365
794,28.066,4.4,124.4375,228.0625,11.363636363636363,38.90909090909091,0.09090909090909091,3.5454545454545454,3.090909090909091,22.272727272727273,0.09090909090909091
795,27.212,7.3000000000000025,125.25,218.75,1.0,3.8181818181818183,0.0,2.5454545454545454,2.090909090909091,12.090909090909092,0.0
796,22.34,14.7,77.5625,226.125,11.090909090909092,60.27272727272727,0.5454545454545454,0.9090909090909091,0.8181818181818182,8.363636363636363,0.18181818181818182
797,24.31,11.4,97.9375,171.25,7.363636363636363,36.54545454545455,0.36363636363636365,4.454545454545454,3.1818181818181817,25.272727272727273,0.2727272727272727
798,23.129,24.6,121.125,223.5625,5.363636363636363,24.545454545454547,0.09090909090909091,5.090909090909091,3.727272727272727,43.09090909090909,0.36363636363636365
799,24.031,8.9,109.5,235.8125,5.636363636363637,21.454545454545453,0.18181818181818182,2.0,1.7272727272727273,13.181818181818182,0.0
800,28.343000000000004,3.8,87.0625,217.9375,8.181818181818182,40.0,0.36363636363636365,1.3636363636363635,1.1818181818181819,12.181818181818182,0.09090909090909091
801,22.27,3.8,111.0625,191.8125,9.909090909090908,50.54545454545455,0.36363636363636365,1.5454545454545454,1.0,7.636363636363637,0.09090909090909091
802,26.302,15.3,98.125,177.75,6.090909090909091,28.0,0.36363636363636365,6.545454545454546,4.7272727272727275,41.72727272727273,0.45454545454545453
803,23.081999999999997,2.7,77.125,177.4375,5.181818181818182,18.636363636363637,0.36363636363636365,1.6363636363636365,1.4545454545454546,7.7272727272727275,0.0
804,35.166,8.2,109.5,235.8125,0.45454545454545453,0.9090909090909091,0.0,0.6363636363636364,0.36363636363636365,2.0,0.0
805,23.199,6.8,91.3125,216.375,6.363636363636363,37.18181818181818,0.09090909090909091,3.5454545454545454,2.909090909090909,32.18181818181818,0.2727272727272727
806,35.202,3.6,97.9375,171.25,11.909090909090908,54.09090909090909,0.0,1.2727272727272727,0.9090909090909091,8.181818181818182,0.09090909090909091
807,28.153000000000002,5.1000000000000005,98.125,177.75,1.6363636363636365,5.818181818181818,0.0,0.2727272727272727,0.09090909090909091,0.45454545454545453,0.0
808,24.184,2.0,99.5625,206.625,1.7272727272727273,7.181818181818182,0.0,1.2727272727272727,0.6363636363636364,6.454545454545454,0.0
809,24.131999999999998,3.0,99.5625,206.625,1.6363636363636365,5.363636363636363,0.0,1.2727272727272727,0.8181818181818182,8.363636363636363,0.0
810,24.061999999999998,1.9,77.8125,213.625,1.9090909090909092,7.909090909090909,0.0,1.0909090909090908,0.8181818181818182,5.818181818181818,0.0
811,25.061,10.0,96.75,228.4375,8.363636363636363,35.0,0.09090909090909091,6.090909090909091,4.181818181818182,38.45454545454545,0.36363636363636365
812,27.01,7.6,106.0625,225.625,3.4545454545454546,16.181818181818183,0.2727272727272727,2.5454545454545454,1.8181818181818181,11.727272727272727,0.0
